lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y,15y,16y,17y,18y,19y,20y,21y,22y,23y,24y
3088.8,3087.8,2481.36,2401.5784,136,165.6,166.56,106.618,265.436,271.364,427.265,403.707,253.602,409.579,383.17,553.905,556.791,762.813,974.713,553.794,759.853,954.176,91.7053,88.8167,112.351,109.411,1021.79,1010,974.754,1042.45,1027.68,992.351
3077.7,3090.1,2483.64,2502.4792,134,164.88,166.32,106.605,265.404,271.29,424.292,389.043,250.731,406.702,368.411,553.781,553.796,762.763,974.666,550.875,756.938,954.043,91.7403,88.8603,115.285,109.485,1021.73,1007.08,974.599,1042.44,1027.69,989.426
3077.3,3079.1,2470.32,2386.2904,132,164.88,166.8,106.568,265.349,271.293,415.557,383.012,250.743,406.589,362.562,553.775,553.843,762.727,974.668,550.852,756.92,954.188,91.7132,88.8221,115.254,109.46,1021.86,1010.06,974.747,1045.2,1027.69,989.42
3053.4,3078.7,2469.72,2370.238,130,163.44,166.8,106.625,265.304,271.228,415.504,365.405,250.705,403.724,347.839,550.934,553.814,762.819,974.704,547.967,756.911,954.181,91.7772,88.8809,115.232,109.49,1021.75,1007.1,974.708,1042.45,1027.68,989.457
3041.8,3054.6,2441.28,2224.2376,128,162.96,167.28,109.361,262.385,268.369,415.446,350.695,250.684,400.8,339.074,550.861,550.911,762.758,974.728,547.922,753.982,954.136,91.8005,91.7024,115.266,112.293,1021.84,1010.05,974.685,1045.19,1027.7,992.305
3089.7,3043.2,2427.36,1902.4252,124,165.36,169.44,109.35,259.531,268.251,415.468,338.965,250.651,403.649,333.013,553.792,553.88,762.782,974.709,550.87,756.868,954.103,91.7754,91.7003,115.283,112.347,1021.79,1010.02,974.651,1042.44,1027.68,989.486
3031.6,3091.1,2484.36,2242.5832,130,162,165.12,109.374,256.609,265.43,412.559,321.402,250.628,403.648,321.35,550.875,553.774,762.791,974.716,547.938,756.847,954.17,91.7998,91.7125,115.235,109.517,1024.66,1012.97,974.709,1042.44,1027.68,989.464
3073.8,3032.8,2415.6,1898.6032,126,164.4,166.8,109.374,253.65,265.377,412.705,315.422,247.789,403.652,318.396,550.842,550.899,762.802,974.707,547.904,759.761,957.05,91.7955,91.7021,112.391,109.369,1021.81,1010.05,977.586,1042.43,1027.65,992.32
3052.9,3075,2465.28,2172.2584,132,163.2,165.36,109.372,250.787,262.457,412.679,312.409,247.751,400.812,315.544,550.887,550.937,762.818,974.649,547.956,759.825,954.194,91.7719,88.861,115.267,106.624,1021.76,1007.13,974.76,1042.41,1027.65,989.38
2654.3,3054.5,2441.64,2141.6824,130,163.44,165.36,109.42,250.75,259.481,412.685,303.687,247.751,400.76,315.455,550.862,550.895,762.772,974.703,547.919,759.859,954.158,91.8026,91.7035,115.336,109.346,1021.76,1007.14,974.748,1042.45,1027.69,992.307
2051.3,2974.9,2446.32,2236.468,132,165.12,166.8,109.37,250.635,256.57,412.59,297.852,247.623,403.656,312.465,553.798,553.849,762.791,974.704,550.897,759.846,954.208,94.645,91.6939,115.327,109.345,1021.81,1010.01,974.772,1042.45,1027.68,989.442
1651.1,2707.4,2487.12,2436.7408,134,165.12,167.04,109.401,250.637,256.55,412.583,294.793,247.63,397.874,303.641,553.817,553.887,762.802,974.646,550.917,759.792,954.131,94.6877,91.6982,118.187,106.622,1021.75,1007.12,974.721,1042.44,1027.68,986.544
1173.3,2398.5,2486.88,2296.0912,134,164.64,167.76,109.38,247.871,256.563,412.597,297.784,244.894,397.865,309.498,550.951,553.828,762.815,974.737,550.849,759.783,954.198,94.6434,91.7148,115.272,106.615,1021.83,1010.05,974.809,1045.21,1027.71,992.309
898.6,1952.1,2482.32,2212.0072,134,162.96,166.08,109.415,250.626,256.591,412.632,294.93,247.62,397.867,309.542,553.819,553.886,762.879,974.716,550.888,762.685,957.111,94.6702,91.7471,115.306,109.396,1024.67,1012.98,977.687,1045.21,1027.71,989.446
584,1309.7,2446.32,1944.4672,132,163.92,166.8,109.413,250.78,262.384,412.69,297.779,247.805,400.818,315.359,553.819,553.862,762.833,974.697,550.913,759.798,957.089,94.6676,91.7398,115.335,109.348,1024.68,1012.97,977.698,1045.19,1027.7,989.466
397.3,761.2,2462.04,2108.8132,134,163.2,165.84,109.403,253.649,265.295,412.667,312.495,247.83,400.757,315.494,550.854,550.929,762.792,974.7,547.919,753.946,957.13,94.6789,91.7513,118.198,109.375,1021.84,1010.05,977.717,1042.43,1027.65,989.445
239.4,452,2450.88,2114.164,130,164.64,168,109.398,256.58,268.197,412.705,315.5,247.86,403.665,318.381,553.803,553.862,762.835,974.705,550.879,759.793,960.021,94.637,91.7193,112.323,109.425,1021.85,1010.07,977.784,1045.21,1027.73,989.471
202.9,354,2491.56,2247.1696,128,164.64,168.48,109.388,256.605,268.225,412.711,321.383,247.837,400.797,318.473,550.926,553.819,762.824,974.731,550.807,759.792,960.021,94.6312,91.7148,112.337,109.474,1021.88,1012.95,980.568,1045.21,1027.72,989.468
185,290.1,2492.04,2202.8344,128,164.16,168,109.392,262.433,268.335,415.478,341.854,250.739,406.556,336.056,550.864,550.942,762.767,974.669,547.951,753.993,960.026,94.6268,91.721,109.473,109.449,1024.68,1012.97,980.581,1042.46,1027.68,989.427
163.6,267.1,2490.96,2229.5884,128,163.44,166.56,109.395,265.343,271.209,415.499,362.456,253.581,403.76,341.878,550.917,553.806,762.803,974.815,550.805,756.904,960.038,91.7723,91.7421,109.434,109.494,1024.66,1012.93,980.553,1045.22,1027.73,992.42
154,247.6,2475.84,2151.6196,128,161.76,164.64,109.43,265.387,271.296,415.543,374.287,250.716,403.669,362.533,553.88,553.905,762.813,974.74,553.8,756.947,960.015,94.6707,91.7555,112.296,109.453,1021.87,1012.94,977.774,1042.41,1024.87,992.324
148.9,239.6,2450.76,2107.2844,128,162.72,164.88,109.463,268.21,274.178,424.304,386.153,250.773,403.745,368.499,553.864,556.741,762.866,974.744,550.949,751.035,954.155,94.686,91.7707,109.472,109.422,1021.84,1010.05,974.807,1045.2,1027.71,992.328
141.2,241.2,2468.64,2283.0964,128,160.08,162,109.406,268.229,274.193,427.255,403.76,253.589,409.514,386.056,553.856,553.866,762.854,974.766,553.793,751.004,957.134,94.6491,91.7614,109.483,112.341,1021.87,1012.94,977.726,1045.22,1027.72,992.359
143.7,228.5,2409,2012.4988,122,164.4,166.08,109.358,265.434,271.278,389.063,433.035,253.649,374.328,412.673,550.937,550.951,762.796,974.804,550.868,753.974,960.037,91.7045,91.6986,109.513,112.327,1021.82,1010.03,977.775,1045.22,1027.7,992.386
140.8,226.3,2505.6,2645.422,130,164.4,165.6,109.36,268.178,271.32,391.976,450.783,253.65,380.133,421.411,553.797,553.84,762.796,974.787,550.918,756.874,960.057,91.7372,91.7299,112.31,115.291,1021.85,1010.07,980.571,1045.22,1027.7,995.239
136.6,216.4,2501.76,2620.9612,130,163.68,164.16,106.619,268.185,271.38,394.886,462.709,253.634,371.366,433.159,550.918,550.933,762.776,974.746,550.841,753.997,957.042,91.742,88.8696,112.35,112.406,1021.87,1012.94,977.604,1042.45,1027.68,992.407
133,205.1,2484.36,2506.3012,128,162.96,163.44,106.612,268.253,271.413,406.701,483.112,256.57,383.143,459.572,553.788,553.82,762.795,974.75,550.908,762.714,957.072,91.7331,88.8587,109.509,112.342,1024.69,1013,977.633,1045.23,1027.74,995.225
131.1,196.6,2472.48,2432.9188,126,162.72,163.2,106.605,268.306,274.185,412.468,500.833,256.62,389.045,477.355,556.742,556.785,765.705,974.755,553.844,765.671,962.901,91.6937,88.8459,109.477,112.388,1021.89,1013.01,980.555,1045.2,1027.71,992.424
135,190.6,2472,2430.6256,126,164.16,164.4,106.543,268.333,274.225,409.714,509.677,256.619,389.017,483.186,553.914,556.772,765.696,977.631,553.874,765.699,962.914,88.8726,88.8015,109.509,112.366,1021.86,1012.97,977.783,1045.23,1027.74,995.328
142,188.5,2506.32,2649.244,128,163.92,164.16,106.537,268.311,274.26,424.336,527.28,253.658,394.863,503.871,562.623,562.655,765.749,977.583,556.829,765.755,962.966,88.866,88.7732,112.294,112.357,1021.84,1012.94,980.574,1045.19,1027.7,995.316
151,187.8,2505.72,2646.1864,128,163.68,163.92,106.525,268.411,274.333,421.432,536.189,259.529,400.823,512.656,565.619,568.515,765.804,977.668,562.662,765.745,962.941,88.8674,88.7643,109.51,112.334,1024.69,1015.89,977.789,1045.23,1027.73,995.371
158.5,189.7,2502.48,2622.49,126,162.72,162.96,106.518,268.363,274.249,424.37,550.88,259.514,403.751,524.389,562.668,565.573,765.792,977.651,559.716,765.656,962.935,88.8284,88.7522,112.3,112.313,1021.86,1012.96,980.565,1045.22,1027.72,995.361
171.2,195,2482.92,2498.6572,124,162.24,162.24,106.547,268.389,274.291,436.166,565.581,259.504,409.622,530.375,565.635,568.522,765.838,977.651,562.696,765.705,962.927,91.6921,88.7671,112.325,109.417,1024.69,1015.89,977.776,1045.25,1027.74,995.374
193.1,207.7,2465.04,2384.7616,122,162.48,162.72,106.521,268.373,274.289,433.098,568.577,259.482,409.7,536.219,568.498,568.523,765.827,977.657,565.592,765.651,960.01,88.8128,85.9724,109.497,112.301,1024.69,1015.87,977.708,1045.22,1027.71,998.128
245.3,233.2,2474.76,2444.3848,122,163.92,163.68,106.478,268.356,274.251,436.136,574.367,259.463,415.515,545.032,565.61,568.521,765.841,977.644,562.676,762.838,957.135,88.7954,85.9259,112.311,109.363,1021.81,1010.04,977.654,1045.23,1027.72,995.374
313.2,277.8,2500.92,2610.2596,124,163.2,162.72,106.487,268.331,274.219,433.187,574.55,259.491,412.669,550.808,565.635,568.558,765.816,977.645,562.682,762.871,957.037,88.7961,85.9269,112.307,109.507,1024.67,1012.98,977.584,1045.22,1027.71,995.352
382.2,363.3,2482.92,2498.6572,122,162,161.28,106.441,268.317,274.174,433.079,574.438,259.522,412.619,550.988,565.582,568.504,765.802,977.644,559.748,762.84,959.981,88.7684,85.9197,109.487,109.428,1024.73,1015.88,977.712,1045.24,1027.75,995.331
502.1,488.5,2455.92,2325.9028,118,163.2,163.92,106.438,268.272,271.435,436.094,577.281,256.578,415.464,553.843,562.634,565.577,765.808,977.662,559.683,762.678,957.107,88.7543,85.9044,109.476,109.378,1024.69,1015.87,977.69,1045.27,1027.77,998.126
641.5,596.9,2483.28,2445.9136,122,162.24,162.72,106.447,268.274,271.388,436.035,577.402,256.607,418.442,553.814,565.568,565.591,765.78,977.664,559.754,762.818,960.022,88.7533,85.893,109.505,109.371,1024.72,1015.9,977.787,1045.24,1027.73,998.117
906.6,681.5,2465.52,2358.0076,120,164.4,164.64,106.442,268.294,271.403,433.219,577.42,256.617,418.478,553.875,562.662,562.685,765.786,977.661,559.738,762.799,957.084,88.7707,85.9068,109.506,109.397,1021.88,1012.95,977.687,1045.21,1027.72,998.16
1219.6,865.4,2523,2610.2596,122,163.44,163.44,106.454,268.311,274.203,436.172,580.268,259.471,415.507,556.756,565.622,568.502,765.803,977.645,562.677,762.867,959.998,88.7864,85.904,112.319,109.373,1024.72,1015.89,977.729,1045.23,1027.71,995.343
1644.8,1259.8,2505.24,2527.7044,122,163.44,163.2,106.449,268.319,274.174,436.096,577.533,259.519,421.428,556.852,562.646,562.661,765.683,977.61,559.735,762.846,960.021,88.7557,85.9019,109.512,109.365,1024.75,1015.92,977.727,1045.24,1027.72,995.322
2473.3,1613.2,2504.88,2245.6408,122,163.2,162.72,106.456,268.317,274.212,436.175,577.515,259.491,418.403,553.935,562.691,565.563,765.727,977.656,562.637,762.793,960.029,88.7662,85.8922,112.387,109.406,1021.88,1012.94,977.737,1045.24,1027.73,998.125
2694.5,2037.1,2500.44,2270.1016,120,161.28,160.8,106.446,268.322,271.432,439.04,577.519,259.548,415.583,553.988,565.597,565.627,765.826,977.583,565.566,765.709,960.048,88.7489,85.8957,112.349,109.377,1024.75,1015.89,977.772,1045.25,1027.76,995.281
2909.6,2258.5,2462.28,2018.614,116,161.04,161.04,106.49,268.324,271.426,436.128,577.357,259.527,418.495,553.882,559.745,562.631,765.749,977.706,556.831,765.707,959.987,88.7638,85.9153,109.487,109.388,1021.85,1010.07,977.7,1045.25,1027.74,998.151
3057.4,2693.5,2452.44,2056.834,116,161.28,161.04,106.506,268.347,274.195,436.036,577.421,259.549,418.419,553.845,562.672,565.582,765.793,977.672,559.758,762.875,960.042,88.7791,85.9513,109.476,109.407,1024.67,1012.97,977.752,1045.26,1027.75,998.147
3090,2892.9,2462.52,2167.672,116,162.72,162.48,106.518,268.355,274.208,436.073,574.551,259.549,421.378,553.787,565.579,568.501,765.821,977.679,562.657,762.837,962.935,88.8153,85.9728,109.5,109.438,1024.7,1015.87,980.569,1045.24,1027.73,995.364
3067.5,3045.7,2492.52,2385.526,118,161.28,161.04,106.534,268.363,274.253,433.246,574.472,259.557,415.583,550.922,559.745,562.647,765.726,977.631,559.727,762.88,962.978,88.8273,85.9797,112.299,109.435,1024.7,1015.87,980.592,1045.29,1030.61,995.351
3085,3066.9,2463.84,2101.9336,116,162.24,162.24,106.544,268.347,274.295,436.009,574.36,259.472,412.455,550.751,562.678,565.606,768.665,977.749,559.765,765.746,965.847,88.8458,88.7697,112.298,112.308,1021.84,1012.98,980.621,1045.25,1027.74,998.183
3075.6,3086.2,2484.6,2162.3212,120,161.52,161.52,106.57,268.391,274.292,433.11,565.617,259.545,409.523,542.043,562.626,562.669,765.778,977.712,559.729,765.726,962.956,88.8715,88.8044,112.345,112.31,1024.7,1015.9,980.589,1045.22,1027.69,998.139
3049.8,3076.8,2471.88,2202.8344,118,160.08,160.08,106.586,268.378,274.253,433.102,556.815,262.394,409.547,530.446,562.67,562.683,765.807,977.659,559.751,765.757,962.967,88.8735,88.8326,112.29,112.373,1024.72,1015.91,980.575,1045.27,1027.77,995.355
3112.1,3051.1,2444.52,2080.5304,116,163.2,162.96,106.628,268.355,274.229,433.242,553.936,262.383,409.583,527.4,562.673,562.696,765.812,977.699,562.649,765.721,962.989,91.7248,91.6991,109.512,112.408,1024.7,1015.91,980.619,1045.26,1027.76,998.121
3088.9,3113.3,2523.12,2516.2384,122,161.76,161.52,106.619,268.359,274.207,430.154,544.958,262.409,412.63,518.507,562.692,562.698,765.798,977.725,562.638,765.676,960.033,91.721,91.6914,109.515,112.378,1024.73,1015.91,977.745,1045.25,1027.73,998.145
3088,3090.2,2492.76,2208.1852,120,161.76,161.52,106.618,268.346,274.209,424.32,530.278,259.545,406.645,503.822,562.697,562.692,765.793,977.708,562.654,765.747,962.946,91.7413,88.8798,109.512,112.362,1021.78,1010.06,980.618,1045.24,1027.72,998.146
3076.7,3089.3,2491.92,2287.6828,120,161.28,161.04,109.355,268.347,274.281,412.506,509.742,259.505,403.675,486.216,559.75,562.642,765.765,977.735,556.826,762.854,965.878,91.7979,91.7379,112.374,115.26,1024.84,1018.81,980.67,1045.29,1027.77,998.16
3074.3,3077.9,2482.44,2049.19,120,161.04,160.8,109.354,268.302,274.198,412.482,494.926,256.61,392.008,468.487,556.787,556.802,765.708,977.675,553.915,762.752,957.056,91.783,91.746,109.506,109.492,1021.82,1010.08,977.62,1045.26,1027.75,995.355
3049.3,3075.6,2481.6,2049.19,120,159.6,159.6,109.386,268.321,274.266,406.66,480.207,256.598,389.055,456.653,553.862,553.861,762.894,977.656,553.826,762.856,957.038,91.7609,94.6342,112.369,115.326,1024.67,1012.99,977.581,1045.25,1027.75,995.368
3078.8,3050.7,2451.72,1878.7288,116,161.04,161.52,109.358,268.286,274.203,400.829,465.518,256.59,386.033,430.194,556.768,556.827,765.667,977.629,553.875,762.833,960.042,91.7605,94.6398,112.369,115.296,1024.67,1013,977.76,1045.26,1027.76,995.315
3083.9,3080,2484.96,2219.6512,116,161.52,162,109.396,268.247,271.413,400.734,444.896,256.552,385.994,409.681,553.906,556.789,762.865,977.67,553.801,759.882,957.05,91.784,91.7963,112.316,115.27,1024.69,1012.99,977.592,1045.22,1027.7,998.144
3017.9,3085.2,2489.88,2204.3632,116,158.16,158.4,109.373,268.289,274.188,397.822,433.242,256.587,400.79,409.626,556.778,556.813,765.661,977.653,553.856,762.829,957.08,94.6212,94.6285,112.356,112.324,1024.67,1012.98,977.627,1045.22,1027.72,995.373
3083.3,3019.1,2412.12,1738.8436,108,161.76,161.52,109.421,268.274,274.256,430.137,424.282,253.632,406.658,389.118,553.892,556.784,765.654,977.636,553.791,762.868,957.108,94.6286,94.6239,112.333,115.267,1021.88,1012.96,977.649,1045.27,1027.78,998.143
3057.5,3084.7,2484.36,2262.4576,114,160.56,160.08,109.371,268.217,274.211,427.236,385.996,253.596,406.7,365.454,559.681,559.75,765.659,977.67,553.903,762.708,957.085,91.786,91.7813,115.297,112.38,1024.71,1013.01,977.637,1045.25,1027.75,998.14
3046.7,3058.8,2451.84,2011.7344,112,160.08,159.6,109.343,265.439,271.313,421.384,365.441,253.58,409.484,353.678,553.908,556.787,765.667,977.681,553.807,762.73,957.07,91.7685,91.7628,115.246,112.417,1024.72,1015.87,977.603,1045.23,1027.72,998.146
3067.4,3047.9,2439.84,1910.0692,108,161.28,160.8,109.349,265.308,271.229,421.442,362.531,250.733,409.561,341.896,550.915,553.783,762.891,977.712,550.811,759.897,959.97,91.7567,91.7775,112.416,115.242,1024.76,1015.91,977.678,1045.28,1027.79,998.173
3090.6,3068.6,2463.36,2150.0908,110,162.96,162,109.363,262.44,268.449,421.374,341.966,250.67,409.49,333.026,550.893,550.937,765.667,977.704,547.98,759.864,960.031,91.7575,91.7445,112.351,112.404,1024.7,1013.01,977.733,1045.24,1027.75,998.152
3087.9,3092,2489.88,2219.6512,112,162.72,162,106.613,262.386,268.288,421.388,333.104,250.682,409.473,321.322,550.911,553.8,765.652,977.728,550.82,759.888,960.017,91.733,91.7382,112.316,112.397,1024.7,1015.87,977.719,1045.26,1027.75,998.159
3054.7,3089.2,2486.88,2339.662,112,161.04,160.56,106.623,262.387,268.314,421.36,318.452,250.7,409.537,318.531,550.939,553.817,762.898,977.742,550.844,759.868,957.091,91.7397,91.7158,112.383,112.391,1024.76,1015.91,977.605,1045.28,1027.79,998.161
3081.7,3055.9,2447.04,1961.284,110,162.24,162.96,109.347,259.45,268.21,421.365,315.427,250.646,409.492,318.311,553.819,553.883,765.669,977.628,550.916,762.796,960.003,91.7405,91.7025,112.375,109.4,1024.81,1015.95,977.647,1045.24,1027.73,995.305
3022.5,3082.5,2479.68,2088.1744,114,160.32,160.8,106.626,256.511,265.319,421.335,312.411,250.646,409.581,318.395,553.817,553.877,762.892,977.66,550.895,762.717,957.129,91.7337,88.85,112.36,109.407,1024.7,1013.01,977.653,1045.24,1027.74,995.332
3033.2,2973.5,2437.68,1988.8024,110,164.16,164.64,106.616,253.644,262.471,421.368,312.527,247.838,409.56,318.489,550.917,553.782,762.858,977.714,550.824,759.853,960.004,91.7289,88.8437,112.348,109.398,1024.71,1013.01,977.706,1045.25,1027.76,998.178
2080.5,2887.7,2516.88,2411.5156,116,162.72,165.12,106.595,265.42,271.254,421.414,365.613,253.657,412.484,362.407,553.832,553.87,762.831,977.679,550.956,759.832,957.123,91.729,88.8446,112.359,109.502,1024.68,1012.99,977.697,1045.28,1027.77,995.371
1985.5,2533.6,2491.08,2176.8448,112,161.28,165.12,106.597,268.183,271.335,427.235,388.915,253.623,412.486,368.451,556.751,556.794,765.672,977.629,553.858,762.683,957.141,91.7495,88.8486,112.392,109.501,1024.68,1013,977.701,1045.23,1027.72,995.333
1359.6,1734.2,2460.12,1958.2264,110,159.6,163.68,106.579,268.241,271.381,433.019,391.992,256.527,412.505,385.994,556.808,556.84,765.713,977.572,553.911,762.694,957.143,91.733,88.8183,112.337,109.436,1024.7,1013.02,977.714,1045.21,1027.71,995.238
1014.5,1024.4,2428.32,1756.4248,106,160.32,164.4,106.596,268.235,271.392,427.319,412.627,253.66,412.522,389.144,556.766,556.802,762.89,977.62,553.899,759.846,957.103,91.7067,88.834,112.348,109.458,1024.68,1013.01,977.654,1045.25,1027.75,995.321
603.8,558.6,2457.96,1964.3416,110,159.84,163.92,106.568,268.211,271.324,400.752,430.17,256.54,380.198,409.621,553.831,553.868,765.66,977.587,550.937,759.864,960.013,91.7072,88.8123,112.36,112.3,1024.78,1015.92,977.735,1045.26,1027.77,995.279
373.2,395.9,2452.68,2087.41,110,159.36,164.64,106.545,268.188,271.28,389.012,436.213,253.641,368.393,397.859,553.894,556.787,765.698,977.581,553.789,762.743,962.911,88.8467,88.7823,112.29,109.468,1024.73,1015.91,980.563,1045.3,1030.6,995.271
242.7,328.5,2452.2,1974.2788,108,161.76,167.76,106.618,253.629,262.432,421.364,315.367,247.839,409.553,318.37,550.941,553.818,762.878,977.683,550.831,759.807,957.108,91.7247,88.8512,112.36,109.449,1021.83,1012.93,977.632,1045.24,1027.75,998.146
