lh,rh,ls,rs,w,ll,rl
155.7,231,2360,2426.72,449,157,128.7
152.6,226.9,2404.24,2453.68,413,157.8,129
148.5,220.4,2424.4,2467.84,374,158.6,128.2
142.7,211.9,2420.48,2466.48,350,159,129.1
134.6,203.7,2428.24,2459.52,326,161.2,130
127.9,195.8,2436.88,2448.48,293,161.6,129.6
122.6,188.5,2424,2436.88,266,162.8,129.4
118.7,184.4,2453.6,2461.28,245,167.2,131
114.9,179.4,2427.2,2431.44,221,165.6,133.4
114.8,177.2,2455.92,2464.48,212,166.8,137.9
111.9,172,2455.52,2464.16,191,166,135.7
107.4,166.5,2433.12,2438.48,167,163,132.6
105.8,163.3,2422.64,2425.52,161,160.2,127.6
101.7,160.4,2431.2,2434.96,164,159.4,125.3
98.9,158.8,2466.96,2469.2,173,160.6,127.1
97.5,154.8,2469.52,2469.92,167,159.8,124.9
94.3,150.7,2460.24,2460.56,164,158.4,122.1
89.5,147.1,2459.76,2460.08,170,157.6,121.3
84.1,142.4,2439.44,2420.64,164,155.8,121.4
80.7,141.3,2469.2,2451.04,176,157.4,120.6
76.9,139.2,2468.64,2453.68,182,156.6,119
73.5,137.2,2453.28,2438.88,194,155.6,116.7
71.1,136.3,2459.36,2441.04,191,156,115.5
68.9,133.8,2439.52,2422.8,200,154.8,114.8
68.9,132.5,2441.84,2425.28,215,154.8,113.2
70.8,132.2,2456.48,2439.52,200,155.2,113
73.4,132.1,2469.12,2451.52,188,155.4,112.8
75.4,131.8,2469.36,2458,191,155.2,112.5
76.6,130.7,2458.16,2442,209,154.2,111.6
77.5,129.5,2435.52,2418.8,233,152.4,110.5
81.7,130.2,2443.44,2426.16,269,152.8,110.3
88.8,129.3,2413.36,2396,266,150.8,108.5
98.2,133.2,2462.48,2444.64,311,154.2,111.8
97.9,135.1,2458.4,2441.52,350,155.2,113.1
96,136.4,2461.44,2442.56,398,155.6,114.4
99,141.1,2440.88,2436.88,422,155,118
99.7,147.9,2436.32,2436.88,452,155.4,121.5
100.1,154.2,2408.8,2409.52,467,154,124.2
118.6,179.4,2404.4,2407.52,548,154.8,130.9
145.5,231.5,2454.88,2458.96,650,161.6,141
170.1,278.4,2448.4,2456.8,701,164.8,151.8
203.9,326.1,2433.12,2442.48,719,165.8,164.5
230.5,350.2,2439.28,2448.96,695,166.4,177.1
234.5,356.4,2463.68,2472.16,713,168,183.2
240.3,379.5,2396.16,2406.64,689,163,177.8
238.9,404.6,2428.24,2435.84,713,163.6,176.7
245.8,431.5,2436.88,2453.44,752,162.2,179.8
288.1,461.3,2420.4,2435.84,779,159.2,173.8
313.2,486.4,2398.32,2439.2,845,158.2,162.4
334.6,497.9,2374.64,2461.76,902,159,156.1
354.6,506.9,2402.8,2456.4,953,158.8,158.4
352.3,503.1,2378.48,2450,956,157.4,157.1
336.5,506.9,2354.96,2413.76,968,155.8,148.7
333,529.6,2300.32,2426.32,995,156.2,145.2
353.5,553.4,2307.92,2442.64,1040,157.2,142.2
359.9,561.7,2295.92,2453.12,1079,158,138.8
394.8,534.2,2302.24,2458.24,1085,157.6,133.5
419.5,468.6,2316.16,2427.04,1061,155.2,128.2
434.3,433,2265.76,2399.84,1013,152.4,124.5
453.2,419.3,2248.64,2394.88,977,150.4,125.2
462.8,453.2,2271.44,2416.24,977,150.4,124.7
474.4,519.4,2216.48,2431.44,947,150.8,122.1
461.6,545.5,2155.04,2428,899,151.4,123.5
427,547.9,2242.4,2411.28,881,149.2,124.8
394.3,537.8,2241.28,2424,863,149.8,127.7
366.4,520.9,2221.04,2408.16,866,149,130.9
355.9,484,2168.32,2401.2,896,147.4,126.8
332.4,436.5,2252.48,2427.92,920,149.4,126.2
313.6,402.4,2298.08,2424.88,962,149.4,125.9
286.3,375.5,2298.64,2429.04,935,148.6,122.3
258.6,349.9,2240.08,2428.64,863,147.2,120.1
234.9,329.3,2311.04,2415.68,821,147.2,117.5
220.1,316.6,2366.8,2460.56,785,150,118.7
201.9,299.4,2306.64,2444,728,147.8,116.2
188.3,285.8,2368.64,2428.48,671,146.2,117.9
178.2,280.4,2388.08,2438.24,614,146.4,119.3
168.9,271.3,2346.08,2426,551,145.2,117.1
157.9,260.3,2337.2,2413.68,482,144.6,116.5
154.3,253.9,2392.32,2436.08,443,145.6,117
152.8,247.6,2428,2451.52,401,146.2,119.2
148.3,236.2,2436.32,2447.92,350,145.2,116.3
143.2,223,2420,2446.56,305,144.8,116.8
137.8,210.6,2419.2,2432,269,143.8,118.4
133.6,201.2,2398.32,2417.6,233,142.2,118.4
130.8,196.5,2455.36,2446,221,143.4,118.3
124.5,188.8,2433.52,2423.36,197,141.8,116.9
118,181.7,2409.76,2400.72,173,140.2,113.7
114.6,181.1,2453.2,2444.16,176,143.6,115.2
109.9,176.8,2452.96,2449.6,167,144.4,116.3
101.9,170.4,2430.96,2430.56,155,143.6,116.7
97.3,168.1,2461.52,2457.36,161,144.8,118
93.7,165.5,2466.24,2471.52,173,144.8,119.6
88.7,161.4,2465.68,2466.32,167,144.6,120.1
84.7,156.3,2427.28,2429.68,152,142.6,117.4
85,155.5,2460.4,2461.04,152,144,118.6
82.8,151.2,2439.84,2440.32,155,142.6,116.7
81.5,149.2,2467.76,2468.4,161,145.4,121
78.9,145.7,2471.36,2453.68,164,145.8,121.5
75.4,140.6,2420.96,2421.52,149,142.6,120.7
75.5,140.6,2460.56,2461.12,152,144.4,122
73.2,137.7,2445.92,2446.32,143,142.8,120
73,135.9,2442,2442.56,146,142.4,120
75.6,135.8,2469.76,2470.16,158,144,122.3
77.4,134.9,2471.2,2471.6,173,144,120.7
76.9,132.1,2427.68,2427.92,176,141.2,116.8
78.6,134.1,2458.88,2459.36,203,143.4,119
79.3,133.7,2438.72,2439.28,239,142.4,121.6
79.9,135.2,2438.56,2438.96,293,142,123.4
82.4,139.4,2457.28,2457.52,371,142.8,124.3
86.6,147.1,2468.88,2448.16,395,144,126.4
83.7,149.4,2428.24,2428.48,374,141.2,126.8
82.8,152.8,2460.48,2460.8,389,144.6,131.9
83.3,155.9,2454.72,2455.12,389,147.2,135.9
85.8,165.1,2446.32,2446.72,434,148.8,139.8
90.5,181.8,2470,2472.72,488,149.4,137
95,199.9,2465.92,2469.2,548,147.8,135.9
108.8,232.2,2452.72,2459.04,608,146.6,137.3
116.7,252.7,2435.2,2442.8,620,145.6,134.5
127,262.9,2436.48,2443.52,671,145.2,136.2
156.3,291.3,2440,2447.68,641,145,135.3
170,316.1,2463.12,2470.48,674,145.6,135.2
199.8,350.9,2461.92,2466.96,677,146,141.7
226.6,379.7,2459.2,2463.28,689,145.6,141.2
269.2,415.8,2328.96,2420.08,671,142.2,142.2
320.7,445.5,2345.76,2437.36,722,143.2,145.8
333.7,424.3,2363.28,2429.76,821,144.8,138.2
337.4,394.6,2276.8,2372.08,905,142.2,128.3
361.9,412.8,2319.44,2431.6,989,145.2,126.9
352.1,399.6,2300.24,2409.68,998,144.2,123.3
352.9,413.3,2225.6,2380.24,1046,144.8,119.5
343.9,434.9,2258.88,2370.64,1091,143.6,119.9
350.9,463.7,2292.8,2391.92,1103,143.6,119.4
339.2,469.8,2182.56,2400.24,1124,143.8,117.4
356.3,496.6,2196.56,2403.68,1127,143.6,115.5
419.7,519.4,2160.56,2409.52,1079,143.4,119.6
450.4,511.9,2155.36,2357.28,1127,142.8,118.5
472,493.5,2152,2372.4,1193,141.6,114.3
