lh,rh,ls,rs,w,ll,rl
142.681,202.657,2474,2428.72,113,116.8,180.3333333
136.731,197.897,2472.72,2426.8,114,116.6,180.6666667
131.852,193.137,2471.76,2428.16,113,116,181.6666667
128.163,188.496,2459.6,2415.12,112,115.4,181.3333333
127.806,186.354,2450.24,2404.08,112,115.4,182
136.136,188.139,2453.12,2401.84,112,116.4,183.6666667
156.366,200.158,2472.8,2420.56,112,116.4,183
181.475,229.194,2470.96,2414.48,113,116.2,183.6666667
252.637,279.769,2460.56,2403.44,113,116.4,184.3333333
409.241,391.034,2458.96,2401.76,113,115.6,183
704.123,546.686,2440.24,2383.44,112,116.2,183
1057.553,731.731,2437.2,2381.36,112,115.6,181
1495.711,904.638,2409.28,2353.04,110,119.6,186
2396.779,1292.816,2470.4,2414.08,113,121,185.6666667
2806.02,1854.972,2467.6,2410.96,113,122.2,185.3333333
3347.589,2491.741,2459.6,2400.64,113,121.6,183.6666667
3561.313,2941.68,2444.24,2388.56,112,122,184.6666667
3652.824,3344.971,2456.32,2400.48,113,122.6,185.3333333
3678.766,3491.103,2471.84,2415.2,114,122.4,184.6666667
3676.386,3651.991,2470.16,2415.36,114,120.4,182.3333333
3636.521,3637.235,2443.36,2389.04,112,120.8,183.3333333
3656.513,3657.703,2456.88,2401.44,113,119.6,181.6666667
3629.024,3629.857,2438.32,2382.88,113,120.4,183.6666667
3661.868,3662.939,2460.4,2404.56,114,120.8,184.6666667
3679.361,3680.551,2472.16,2416.96,115,117.6,180.6666667
3593.324,3594.633,2414.32,2365.12,111,119.8,184.3333333
3666.033,3667.461,2463.2,2417.44,113,119.2,183.6666667
3656.632,3658.179,2456.88,2414.56,112,118.2,182.3333333
3632.356,3633.903,2440.48,2396.88,112,117.8,182.3333333
3630.214,3631.761,2439.12,2392.88,111,119.2,184.6666667
3679.599,3681.146,2472.32,2417.92,113,118.6,184
3662.225,3663.534,2460.64,2403.92,112,118.6,184.3333333
3668.175,3669.365,2464.56,2409.2,112,118.2,183.3333333
3652.586,3653.419,2454.08,2400.4,111,117.2,181.3333333
3619.266,3620.099,2431.76,2376.64,110,118.6,183.6666667
3669.246,3669.722,2465.28,2408,112,115.6,179
3582.019,3583.09,2406.72,2351.12,109,118.8,183.6666667
3678.171,3677.219,2471.36,2414.56,112,117.8,182
3645.327,3623.669,2449.2,2391.44,112,119.2,184.3333333
3668.651,3286.423,2465.6,2408.32,114,118,182
3596.418,2742.355,2440.48,2383.68,112,118.6,183
3618.552,1983.373,2457.92,2400.48,113,118,181.3333333
3178.847,1171.198,2446.24,2386.64,113,118.6,182.6666667
2809.828,706.027,2468.16,2409.04,114,116.8,179.6666667
2303.721,462.91,2434.8,2378.88,113,117,180
715.428,367.591,2443.04,2387.44,115,117,180
341.173,330.106,2441.28,2387.44,115,118.2,182
236.691,316.54,2468.24,2417.52,116,115.2,177.3333333
208.607,290.717,2408.32,2364.32,113,115.8,178
212.058,276.199,2422.64,2379.12,115,117.8,181
192.423,263.228,2465.36,2424,117,117,179.6666667
165.767,248.591,2452.96,2407.44,117,116.4,178.6666667
148.869,237.167,2443.36,2395.92,116,117.6,180.3333333
144.585,231.812,2470.8,2424.08,117,117.4,180.3333333
139.944,227.171,2471.92,2420.16,117,117.8,180.3333333
142.205,227.29,2471.44,2424.32,117,118.4,179.3333333
154.105,236.691,2461.52,2415.12,117,119.2,177
177.429,260.729,2432.88,2378.24,115,122.4,177.6666667
225.862,315.35,2443.84,2388.08,117,123,176
363.545,443.037,2423.36,2368.24,118,126.6,179
727.209,686.868,2461.68,2407.12,120,127.4,179.3333333
1274.966,864.178,2462.32,2405.2,119,127.2,180
1876.63,1070.524,2467.6,2408.56,119,125.2,178.3333333
2799.594,1622.446,2449.36,2392,118,125.6,179.3333333
3180.156,2081.548,2468.48,2411.12,118,125.4,179.6666667
3432.793,2741.046,2471.84,2410.8,117,125.2,179.3333333
3649.611,3193.127,2472.48,2415.12,117,122.6,176
3612.007,3363.654,2428.48,2374.24,114,122.6,176.3333333
3620.932,3523.233,2433.28,2377.68,114,123,177
3642.352,3643.661,2447.28,2392.08,114,122.8,177
3642.947,3644.137,2447.6,2393.12,114,123.6,178.6666667
3680.908,3682.217,2473.2,2417.68,115,123.2,178.6666667
3679.599,3680.908,2472.32,2416.08,115,122.4,177.6666667
3660.321,3661.511,2459.36,2403.44,114,122.4,177.6666667
3665.557,3667.223,2462.96,2409.12,114,121.4,176.3333333
3641.4,3643.066,2446.72,2392.4,113,121.4,176.6666667
3644.375,3645.803,2448.64,2396.64,113,122.2,178.3333333
3678.885,3680.432,2471.92,2419.2,114,122,178.3333333
3677.576,3679.123,2470.96,2426.32,113,121.6,178.6666667
3676.148,3677.695,2470,2424.88,113,121.2,177.6666667
3659.25,3660.559,2458.64,2406.16,112,120.8,176.3333333
3637.116,3638.663,2443.76,2388.32,112,122,176.6666667
3648.302,3649.492,2451.36,2396.08,112,124.6,178.3333333
3678.409,3679.361,2471.52,2414.08,113,127,179.3333333
3676.624,3677.814,2470.4,2413.2,113,127.8,179.3333333
3659.964,3652.824,2459.12,2402.56,112,129,180.3333333
3663.058,3433.507,2461.2,2404.16,112,128,179.6666667
3525.018,3175.753,2445.76,2388.8,110,127.6,180
3545.962,2684.759,2452.56,2397.12,111,128,181
2707.964,2372.146,2471.36,2416.24,112,127.6,181
2680.356,1584.842,2470.88,2415.2,113,126.6,180
2124.388,931.77,2460.64,2404.64,113,126.2,179.6666667
2023,629.391,2458.64,2402.72,113,125.2,178.6666667
614.04,435.897,2440.4,2385.04,112,126,180.3333333
336.532,341.292,2456.08,2400.64,112,126.4,182
265.489,319.991,2472.48,2417.44,112,125.4,181.3333333
