lh,rh,ls,rs,w,ll,rl
80.159,66.5,2469.44,2460.32,310,3784.32,3980.64
76.68,63.9,2464.64,2454.24,300,3635.28,2928.72
72.988,61.4,2463.36,2453.76,294,3027.84,2248.56
69.367,58.4,2442,2433.12,290,1504.32,1855.2
68.941,56.3,2429.04,2419.76,280,1029.6,1636.8
68.87,55.75,2470.72,2462.32,278,911.28,1421.52
65.888,54.45,2469.84,2461.28,290,808.8,1251.84
61.77,51.35,2431.36,2422.4,298,722.16,1093.68
59.285,49.45,2447.44,2438.24,300,684.96,1022.4
57.155,47.4,2443.2,2435.44,310,655.68,975.6
56.303,46.55,2470.72,2462.88,308,637.92,952.56
56.587,45.8,2470.24,2463.76,302,618,838.56
56.445,45.95,2470.8,2465.28,292,584.64,753.84
53.108,45.2,2449.76,2444.16,278,528.24,712.8
49.416,43.8,2459.84,2454.24,288,500.64,645.36
46.363,41.95,2445.52,2439.84,286,477.36,575.04
45.511,41.4,2471.68,2466.08,262,466.56,550.56
45.369,41.15,2481.44,2475.84,274,447.84,520.08
44.943,40.75,2469.2,2463.36,286,426,504
44.659,40.55,2464.64,2459.12,292,409.68,506.16
43.665,39.95,2440,2434.56,300,392.4,508.56
43.239,40.05,2448.32,2441.04,324,386.64,507.6
42.955,40.4,2424.24,2416.88,358,372.72,507.36
46.079,42.15,2470.4,2462.56,390,370.8,522.48
51.83,43,2458.8,2451.52,420,368.4,530.16
61.415,44.05,2462.16,2454.56,436,387.36,528.24
72.704,45.4,2446,2438.16,452,403.68,522.48
85.2,47.05,2449.44,2441.68,428,446.16,556.32
99.329,50.65,2471.52,2463.92,394,473.52,650.4
116.653,58.3,2469.52,2461.2,412,506.64,808.32
131.776,68.8,2471.04,2461.76,472,565.68,1024.32
142.426,73.85,2456.16,2447.84,470,776.88,1642.8
149.668,80.45,2441.44,2432.88,444,1512,3647.76
140.864,86.2,2449.44,2440.48,458,3031.2,5463.36
125.812,82.6,2471.92,2460.8,418,4992.96,6325.68
114.949,80.65,2462,2453.2,438,6193.68,6777.84
108.559,82.2,2458.16,2447.68,444,7054.56,7055.28
105.364,76.9,2457.28,2446.56,424,7234.08,7238.64
98.832,70.55,2444.88,2434.08,450,7310.16,7294.08
94.714,67.25,2450.16,2439.04,434,7352.64,7324.8
93.507,66.55,2471.6,2460.16,416,7416.96,7412.4
91.803,65.2,2471.44,2459.6,406,7416.24,7412.64
88.466,64.45,2458.64,2447.2,402,7377.6,7377.36
86.833,64.3,2451.76,2440.16,380,7356.96,7356.96
84.774,67.25,2449.36,2438.48,366,7350.24,7350.24
90.17,72,2455.12,2443.36,408,7367.28,7367.28
95.566,73.4,2449.84,2438.64,386,7351.68,7351.44
105.932,80.45,2471.44,2460.24,398,7416.24,7416.24
116.866,88.05,2441.2,2429.84,426,7325.52,7325.52
125.386,90.65,2458.4,2446.08,440,7376.88,7377.12
125.173,88.75,2442.96,2430.48,424,7331.04,7330.8
120.132,85.35,2457.12,2444.96,390,7373.28,7373.28
112.606,82.55,2467.52,2454.88,406,7404.48,7404.48
108.417,80.45,2468.24,2455.52,408,7406.88,7406.88
103.518,77.65,2443.76,2430.88,396,7333.2,7333.2
99.045,78.25,2459.6,2446.8,366,7381.2,7381.44
93.862,83.5,2440.16,2427.2,346,7323.12,7322.88
93.649,92.85,2460.24,2448,310,7383.12,7382.88
93.507,93.35,2471.12,2459.68,294,7416.48,7413.6
89.318,87.3,2467.44,2455.84,284,7404.96,7398.24
81.792,81.7,2462.48,2450.96,270,7389.84,7349.76
74.763,74.85,2461.44,2451.12,270,7386.48,7285.68
68.941,67.55,2437.76,2428.48,270,7276.08,7049.76
66.456,63.3,2462.72,2452.48,270,7269.12,6854.4
64.894,60.25,2470.4,2460.4,276,7070.64,6714
66.385,57.95,2416.64,2405.6,290,6024.96,5866.08
79.165,59.4,2464.72,2454.08,280,4891.92,5349.12
88.182,58.85,2436.8,2423.84,284,4480.32,4358.16
87.614,59.55,2439.76,2428.72,274,4139.04,3528.24
83.922,58.35,2439.76,2428.56,272,3271.2,2779.44
80.23,57.35,2469.92,2458.8,262,2069.76,2411.76
76.396,56.75,2471.04,2460.64,270,1282.32,2146.56
71.639,57.1,2466.24,2455.92,286,1103.76,1946.64
68.302,57.05,2465.36,2455.52,282,1035.12,1777.92
64.184,56.85,2441.2,2431.52,270,936.48,1654.08
62.835,57.9,2467.2,2458.48,270,896.4,1634.4
61.344,57.05,2472.8,2464.96,296,874.08,1609.92
60.066,55.7,2466.16,2458.8,314,779.04,1577.76
61.344,54.55,2464.88,2457.04,278,709.44,1405.44
58.504,51.55,2452.32,2445.2,298,674.64,1140.72
54.883,47.65,2432.4,2425.36,282,626.88,1002.48
54.954,46.6,2469.68,2462,286,593.04,958.8
57.013,45.85,2471.36,2463.76,288,551.76,823.44
53.463,45.55,2470.88,2463.36,278,514.8,746.64
48.919,45.1,2463.6,2456.72,276,484.08,696.72
45.937,44.3,2450.24,2443.44,286,468.72,625.68
44.162,43.15,2430.4,2423.76,288,450.72,633.6
45.085,43.45,2471.12,2464.56,310,452.16,674.64
45.44,43.2,2472.64,2465.76,360,457.68,671.28
48.067,43,2470.8,2463.92,374,466.56,669.6
51.404,42.85,2466.56,2459.52,382,489.6,660.24
60.35,42.5,2443.28,2436.64,404,531.84,717.6
81.082,43.05,2444.16,2437.44,416,570,750
107.636,43.2,2430.56,2422.8,402,624.24,817.68
128.723,43.75,2471.2,2462.4,432,832.32,971.04
139.586,43.3,2460.8,2452.32,452,1370.88,1550.64
149.952,46.2,2449.04,2440.4,446,2723.28,3690
148.816,55.15,2447.2,2438.4,452,4278.48,5242.56
141.503,65.8,2433.52,2423.76,434,5931.6,6549.84
130.001,89.3,2469.36,2460.4,458,6913.92,6981.84
109.127,97.7,2430.56,2422.4,494,7224,7040.64
95.992,99.2,2459.04,2449.36,470,7277.04,7311.36
90.596,98.2,2462.8,2453.6,444,7390.56,7360.56
82.644,92.25,2439.36,2429.92,454,7320.24,7313.76
77.461,88.6,2435.76,2426.4,422,7309.44,7307.76
