lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y
1173.3,2398.5,2486.88,2296.0912,134,164.64,167.76,109.38,247.871,256.563,412.597,297.784,244.894,397.865,309.498,550.951,553.828,762.815,974.737,550.849,759.783,954.198
898.6,1952.1,2482.32,2212.0072,134,162.96,166.08,109.415,250.626,256.591,412.632,294.93,247.62,397.867,309.542,553.819,553.886,762.879,974.716,550.888,762.685,957.111
584,1309.7,2446.32,1944.4672,132,163.92,166.8,109.413,250.78,262.384,412.69,297.779,247.805,400.818,315.359,553.819,553.862,762.833,974.697,550.913,759.798,957.089
397.3,761.2,2462.04,2108.8132,134,163.2,165.84,109.403,253.649,265.295,412.667,312.495,247.83,400.757,315.494,550.854,550.929,762.792,974.7,547.919,753.946,957.13
239.4,452,2450.88,2114.164,130,164.64,168,109.398,256.58,268.197,412.705,315.5,247.86,403.665,318.381,553.803,553.862,762.835,974.705,550.879,759.793,960.021
202.9,354,2491.56,2247.1696,128,164.64,168.48,109.388,256.605,268.225,412.711,321.383,247.837,400.797,318.473,550.926,553.819,762.824,974.731,550.807,759.792,960.021
185,290.1,2492.04,2202.8344,128,164.16,168,109.392,262.433,268.335,415.478,341.854,250.739,406.556,336.056,550.864,550.942,762.767,974.669,547.951,753.993,960.026
163.6,267.1,2490.96,2229.5884,128,163.44,166.56,109.395,265.343,271.209,415.499,362.456,253.581,403.76,341.878,550.917,553.806,762.803,974.815,550.805,756.904,960.038
154,247.6,2475.84,2151.6196,128,161.76,164.64,109.43,265.387,271.296,415.543,374.287,250.716,403.669,362.533,553.88,553.905,762.813,974.74,553.8,756.947,960.015
148.9,239.6,2450.76,2107.2844,128,162.72,164.88,109.463,268.21,274.178,424.304,386.153,250.773,403.745,368.499,553.864,556.741,762.866,974.744,550.949,751.035,954.155
141.2,241.2,2468.64,2283.0964,128,160.08,162,109.406,268.229,274.193,427.255,403.76,253.589,409.514,386.056,553.856,553.866,762.854,974.766,553.793,751.004,957.134
143.7,228.5,2409,2012.4988,122,164.4,166.08,109.358,265.434,271.278,389.063,433.035,253.649,374.328,412.673,550.937,550.951,762.796,974.804,550.868,753.974,960.037
140.8,226.3,2505.6,2645.422,130,164.4,165.6,109.36,268.178,271.32,391.976,450.783,253.65,380.133,421.411,553.797,553.84,762.796,974.787,550.918,756.874,960.057
136.6,216.4,2501.76,2620.9612,130,163.68,164.16,106.619,268.185,271.38,394.886,462.709,253.634,371.366,433.159,550.918,550.933,762.776,974.746,550.841,753.997,957.042
133,205.1,2484.36,2506.3012,128,162.96,163.44,106.612,268.253,271.413,406.701,483.112,256.57,383.143,459.572,553.788,553.82,762.795,974.75,550.908,762.714,957.072
131.1,196.6,2472.48,2432.9188,126,162.72,163.2,106.605,268.306,274.185,412.468,500.833,256.62,389.045,477.355,556.742,556.785,765.705,974.755,553.844,765.671,962.901
135,190.6,2472,2430.6256,126,164.16,164.4,106.543,268.333,274.225,409.714,509.677,256.619,389.017,483.186,553.914,556.772,765.696,977.631,553.874,765.699,962.914
